Timestamp for sample frequency every 1 min min,Temperature_Fahrenheit,Relative_Humidity
2026-02-07 12:26:00,71.96,71.2
2026-02-07 12:27:00,73.22,33.4
2026-02-07 12:28:00,73.22,33.4
2026-02-07 12:29:00,73.04,21.3
2026-02-07 12:30:00,72.68,22
2026-02-07 12:31:00,72.68,22
2026-02-07 12:32:00,72.32,19.5
2026-02-07 12:33:00,72.14,19
2026-02-07 12:34:00,71.78,18.8
2026-02-07 12:35:00,71.6,18.6
2026-02-07 12:36:00,71.42,18.4
2026-02-07 12:37:00,71.24,18.5
2026-02-07 12:38:00,71.24,18.5
2026-02-07 12:39:00,71.06,18.6
2026-02-07 12:40:00,70.88,18.5
2026-02-07 12:41:00,70.88,18.7
2026-02-07 12:42:00,70.7,18.8
2026-02-07 12:43:00,70.7,18.9
2026-02-07 12:44:00,70.7,19
2026-02-07 12:45:00,70.7,19.1
2026-02-07 12:46:00,70.52,19
2026-02-07 12:47:00,70.7,19
2026-02-07 12:48:00,70.52,19.1
2026-02-07 12:49:00,70.52,19
2026-02-07 12:50:00,70.52,19
2026-02-07 12:51:00,70.52,19.1
2026-02-07 12:52:00,70.52,19.1
2026-02-07 12:53:00,70.7,19.2
2026-02-07 12:54:00,70.7,19
2026-02-07 12:55:00,70.7,19
2026-02-07 12:56:00,70.7,19
2026-02-07 12:57:00,70.7,18.9
2026-02-07 12:58:00,70.52,19.1
2026-02-07 12:59:00,70.52,19
2026-02-07 13:00:00,70.52,19
2026-02-07 13:01:00,70.52,18.9
2026-02-07 13:02:00,70.52,18.9
2026-02-07 13:03:00,70.52,19.2
2026-02-07 13:04:00,70.52,19.4
2026-02-07 13:05:00,70.7,19.5
2026-02-07 13:06:00,70.52,19.6
2026-02-07 13:07:00,70.52,19.6
2026-02-07 13:08:00,70.7,19.5
2026-02-07 13:09:00,70.7,19.5
2026-02-07 13:10:00,70.7,19.5
2026-02-07 13:11:00,70.7,19.5
2026-02-07 13:12:00,70.7,19.4
2026-02-07 13:13:00,70.88,19.9
2026-02-07 13:14:00,70.7,19.7
2026-02-07 13:15:00,70.88,19.6
2026-02-07 13:16:00,70.7,19.5
2026-02-07 13:17:00,70.88,19.6
2026-02-07 13:18:00,70.88,19.6
2026-02-07 13:19:00,70.88,19.5
2026-02-07 13:20:00,70.88,19.5
2026-02-07 13:21:00,70.88,19.4
2026-02-07 13:22:00,70.88,19.5
2026-02-07 13:23:00,70.7,19.4
2026-02-07 13:24:00,70.7,19.5
2026-02-07 13:25:00,71.06,20.8
2026-02-07 13:26:00,71.24,17
2026-02-07 13:27:00,71.42,16.1
2026-02-07 13:28:00,71.42,15.7
2026-02-07 13:29:00,71.42,15.7
2026-02-07 13:30:00,71.6,27.1
2026-02-07 13:31:00,71.42,18.5
2026-02-07 13:32:00,71.24,16.7
2026-02-07 13:33:00,71.42,17.5
2026-02-07 13:34:00,71.78,17.2
2026-02-07 13:35:00,71.78,16.4
2026-02-07 13:36:00,71.96,16.1
2026-02-07 13:37:00,71.96,16
2026-02-07 13:38:00,71.96,16
2026-02-07 13:39:00,71.96,15.9
2026-02-07 13:40:00,72.14,15.8
2026-02-07 13:41:00,72.14,15.7
2026-02-07 13:42:00,72.14,39
2026-02-07 13:43:00,71.96,14.3
2026-02-07 13:44:00,65.3,12.9
2026-02-07 13:45:00,59.18,14
2026-02-07 13:46:00,54.5,15.2
2026-02-07 13:47:00,51.26,16.2
2026-02-07 13:48:00,48.92,17.4
2026-02-07 13:49:00,47.48,18.5
2026-02-07 13:50:00,45.86,19
2026-02-07 13:51:00,43.7,19.9
2026-02-07 13:52:00,41.9,20.9
2026-02-07 13:53:00,40.64,21.8
2026-02-07 13:54:00,40.28,22.8
2026-02-07 13:55:00,39.2,23.1
2026-02-07 13:56:00,38.84,24.1
2026-02-07 13:57:00,38.48,24.6
2026-02-07 13:58:00,38.12,24.6
2026-02-07 13:59:00,37.22,25
2026-02-07 14:00:00,36.86,25.7
2026-02-07 14:01:00,36.86,25.6
2026-02-07 14:02:00,36.5,26.3
2026-02-07 14:03:00,36.14,27
2026-02-07 14:04:00,35.96,27.3
2026-02-07 14:05:00,35.6,27.5
2026-02-07 14:06:00,35.24,27.4
2026-02-07 14:07:00,34.88,27.6
2026-02-07 14:08:00,34.52,28.4
2026-02-07 14:09:00,33.98,34
2026-02-07 14:10:00,33.98,29.6
2026-02-07 14:11:00,33.62,29.3
2026-02-07 14:12:00,33.26,29.4
2026-02-07 14:13:00,33.08,29.9
2026-02-07 14:14:00,32.9,29.9
2026-02-07 14:15:00,32.54,30.3
2026-02-07 14:16:00,32.18,30.4
2026-02-07 14:17:00,32,30.9
2026-02-07 14:18:00,32,31.7
2026-02-07 14:19:00,32,31
2026-02-07 14:20:00,32,31.2
2026-02-07 14:21:00,31.82,31.7
2026-02-07 14:22:00,31.82,31.9
2026-02-07 14:23:00,31.64,31.9
2026-02-07 14:24:00,31.46,31.7
2026-02-07 14:25:00,31.46,31.8
2026-02-07 14:26:00,31.46,31.8
2026-02-07 14:27:00,31.64,31.8
2026-02-07 14:28:00,31.46,32.1
2026-02-07 14:29:00,31.64,31.4
2026-02-07 14:30:00,32,32
2026-02-07 14:31:00,32.18,32.1
2026-02-07 14:32:00,32.36,32.1
2026-02-07 14:33:00,32.18,32.4
2026-02-07 14:34:00,32,32.7
2026-02-07 14:35:00,31.46,32.9
2026-02-07 14:36:00,31.28,33.2
2026-02-07 14:37:00,31.28,32.9
2026-02-07 14:38:00,31.28,32.4
2026-02-07 14:39:00,31.46,32.7
2026-02-07 14:40:00,31.46,33.2
2026-02-07 14:41:00,31.46,33.4
2026-02-07 14:42:00,31.28,33.3
2026-02-07 14:43:00,31.1,33.4
2026-02-07 14:44:00,30.92,33.6
2026-02-07 14:45:00,30.38,34.2
2026-02-07 14:46:00,30.56,34.5
2026-02-07 14:47:00,30.92,34.8
2026-02-07 14:48:00,31.28,34.8
2026-02-07 14:49:00,31.1,34.1
2026-02-07 14:50:00,30.74,34.5
2026-02-07 14:51:00,30.56,34.7
2026-02-07 14:52:00,30.74,35.1
2026-02-07 14:53:00,30.92,34.8
2026-02-07 14:54:00,30.56,35.2
2026-02-07 14:55:00,30.38,35
2026-02-07 14:56:00,30.56,36
2026-02-07 14:57:00,30.74,35
2026-02-07 14:58:00,30.56,34.1
2026-02-07 14:59:00,30.56,34.5
2026-02-07 15:00:00,30.38,35.1
2026-02-07 15:01:00,30.38,35.3
2026-02-07 15:02:00,30.38,35.5
2026-02-07 15:03:00,30.38,35.3
2026-02-07 15:04:00,30.56,36
2026-02-07 15:05:00,30.56,35.8
2026-02-07 15:06:00,30.74,36
2026-02-07 15:07:00,30.74,36.3
2026-02-07 15:08:00,30.74,35.3
2026-02-07 15:09:00,30.74,35.3
2026-02-07 15:10:00,30.74,35.1
2026-02-07 15:11:00,30.74,34.8
2026-02-07 15:12:00,30.74,35.4
2026-02-07 15:13:00,30.56,35.8
2026-02-07 15:14:00,30.56,35.8
2026-02-07 15:15:00,30.56,36.1
2026-02-07 15:16:00,30.56,36.3
2026-02-07 15:17:00,30.74,35.2
2026-02-07 15:18:00,30.74,35.9
2026-02-07 15:19:00,30.74,36.1
2026-02-07 15:20:00,30.74,36.5
2026-02-07 15:21:00,31.1,35.9
2026-02-07 15:22:00,31.28,35.6
2026-02-07 15:23:00,31.1,35.8
2026-02-07 15:24:00,30.92,35.8
2026-02-07 15:25:00,30.74,36.4
2026-02-07 15:26:00,30.56,36.8
2026-02-07 15:27:00,30.38,37.2
2026-02-07 15:28:00,30.38,36.7
2026-02-07 15:29:00,30.38,37.5
2026-02-07 15:30:00,30.38,37
2026-02-07 15:31:00,30.38,37.5
2026-02-07 15:32:00,30.2,36.8
2026-02-07 15:33:00,30.02,36.6
2026-02-07 15:34:00,29.84,36.9
2026-02-07 15:35:00,29.84,37.4
2026-02-07 15:36:00,29.84,37.7
2026-02-07 15:37:00,29.66,37.5
2026-02-07 15:38:00,29.66,37.7
2026-02-07 15:39:00,29.66,38.3
2026-02-07 15:40:00,29.48,38.3
2026-02-07 15:41:00,29.3,38.5
2026-02-07 15:42:00,29.12,38.7
2026-02-07 15:43:00,28.76,38.8
2026-02-07 15:44:00,28.4,39
2026-02-07 15:45:00,28.22,39.6
2026-02-07 15:46:00,28.22,39.6
2026-02-07 15:47:00,28.4,39.3
2026-02-07 15:48:00,28.4,39.6
2026-02-07 15:49:00,28.58,39.7
2026-02-07 15:50:00,28.76,39.3
2026-02-07 15:51:00,28.94,39.2
2026-02-07 15:52:00,28.94,39.2
2026-02-07 15:53:00,29.12,39.6
2026-02-07 15:54:00,29.12,38.8
2026-02-07 15:55:00,29.66,39.7
2026-02-07 15:56:00,30.02,39.1
2026-02-07 15:57:00,30.02,38.8
2026-02-07 15:58:00,30.02,39
2026-02-07 15:59:00,30.02,38.6
2026-02-07 16:00:00,29.84,38.3
2026-02-07 16:01:00,30.02,38.8
2026-02-07 16:02:00,30.02,39.7
2026-02-07 16:03:00,30.02,38.6
2026-02-07 16:04:00,30.02,38.4
2026-02-07 16:05:00,30.2,38.2
2026-02-07 16:06:00,30.38,37.8
2026-02-07 16:07:00,30.2,38.8
2026-02-07 16:08:00,30.2,38.7
2026-02-07 16:09:00,30.2,39
2026-02-07 16:10:00,30.02,38.6
2026-02-07 16:11:00,30.02,38.1
2026-02-07 16:12:00,29.84,38.6
2026-02-07 16:13:00,29.84,39.1
2026-02-07 16:14:00,29.84,39.6
2026-02-07 16:15:00,29.48,38.9
2026-02-07 16:16:00,29.48,39
2026-02-07 16:17:00,29.48,39.6
2026-02-07 16:18:00,29.48,39.9
2026-02-07 16:19:00,29.48,40
2026-02-07 16:20:00,29.66,39.9
2026-02-07 16:21:00,29.66,39.1
2026-02-07 16:22:00,29.48,39.6
2026-02-07 16:23:00,29.48,39.2
2026-02-07 16:24:00,29.3,39.5
2026-02-07 16:25:00,29.3,39.4
2026-02-07 16:26:00,29.12,39.9
2026-02-07 16:27:00,28.94,40.1
2026-02-07 16:28:00,28.58,40.1
2026-02-07 16:29:00,28.22,40.4
2026-02-07 16:30:00,27.86,41
2026-02-07 16:31:00,27.68,41.3
2026-02-07 16:32:00,27.32,41.3
2026-02-07 16:33:00,27.14,41.7
2026-02-07 16:34:00,27.14,41.7
2026-02-07 16:35:00,27.32,42.6
2026-02-07 16:36:00,27.5,41.9
2026-02-07 16:37:00,27.5,42.1
2026-02-07 16:38:00,27.32,41.8
2026-02-07 16:39:00,27.14,42.1
2026-02-07 16:40:00,26.96,42.2
2026-02-07 16:41:00,26.96,42.7
2026-02-07 16:42:00,26.78,43.1
2026-02-07 16:43:00,26.78,42.7
2026-02-07 16:44:00,26.78,42.7
2026-02-07 16:45:00,26.78,42.6
2026-02-07 16:46:00,26.96,42.8
2026-02-07 16:47:00,27.14,43
2026-02-07 16:48:00,26.96,43.1
2026-02-07 16:49:00,27.14,42.9
2026-02-07 16:50:00,26.96,42.9
2026-02-07 16:51:00,26.96,42.9
2026-02-07 16:52:00,26.96,42.8
2026-02-07 16:53:00,26.96,43.1
2026-02-07 16:54:00,26.96,43
2026-02-07 16:55:00,26.96,43.3
2026-02-07 16:56:00,27.14,43.4
2026-02-07 16:57:00,27.32,43.4
2026-02-07 16:58:00,27.32,43.2
2026-02-07 16:59:00,27.5,43.2
2026-02-07 17:00:00,27.5,43
2026-02-07 17:01:00,27.32,42.8
2026-02-07 17:02:00,27.14,43
2026-02-07 17:03:00,26.96,43.2
2026-02-07 17:04:00,26.6,42.9
2026-02-07 17:05:00,26.6,43.4
2026-02-07 17:06:00,26.78,43.8
2026-02-07 17:07:00,26.78,43.4
2026-02-07 17:08:00,26.78,42.9
2026-02-07 17:09:00,26.6,42.8
2026-02-07 17:10:00,26.6,43.2
2026-02-07 17:11:00,26.6,43.6
2026-02-07 17:12:00,26.42,43.4
2026-02-07 17:13:00,26.42,43.8
2026-02-07 17:14:00,26.24,43.8
2026-02-07 17:15:00,26.06,44
2026-02-07 17:16:00,26.06,44.3
2026-02-07 17:17:00,25.88,44.7
2026-02-07 17:18:00,25.52,44.8
2026-02-07 17:19:00,25.34,45.3
2026-02-07 17:20:00,25.16,45.5
2026-02-07 17:21:00,25.16,45.8
2026-02-07 17:22:00,25.16,45.7
2026-02-07 17:23:00,25.16,45.9
2026-02-07 17:24:00,25.16,46.2
2026-02-07 17:25:00,25.34,46.2
2026-02-07 17:26:00,25.34,46.1
2026-02-07 17:27:00,25.34,46
2026-02-07 17:28:00,25.34,45.8
2026-02-07 17:29:00,25.16,45.8
2026-02-07 17:30:00,25.16,45.7
2026-02-07 17:31:00,25.16,45.9
2026-02-07 17:32:00,24.98,46.1
2026-02-07 17:33:00,24.98,46.2
2026-02-07 17:34:00,24.98,46.1
2026-02-07 17:35:00,24.8,46.2
2026-02-07 17:36:00,24.8,46.3
2026-02-07 17:37:00,24.62,46.3
2026-02-07 17:38:00,24.62,46.6
2026-02-07 17:39:00,24.44,46.7
2026-02-07 17:40:00,24.44,46.9
2026-02-07 17:41:00,24.26,47
2026-02-07 17:42:00,24.08,47.2
2026-02-07 17:43:00,24.08,47.2
2026-02-07 17:44:00,23.9,47.5
2026-02-07 17:45:00,23.9,47.5
2026-02-07 17:46:00,23.54,47.8
2026-02-07 17:47:00,23.54,48.1
2026-02-07 17:48:00,23.36,48.3
2026-02-07 17:49:00,23.18,48.5
2026-02-07 17:50:00,23.18,48.5
2026-02-07 17:51:00,23,48.6
2026-02-07 17:52:00,22.82,49
2026-02-07 17:53:00,22.64,49.1
2026-02-07 17:54:00,22.64,49.5
2026-02-07 17:55:00,22.46,49.6
2026-02-07 17:56:00,22.28,49.8
2026-02-07 17:57:00,22.28,49.9
2026-02-07 17:58:00,22.1,50
2026-02-07 17:59:00,22.1,50.1
2026-02-07 18:00:00,21.92,50.2
2026-02-07 18:01:00,21.74,50.3
2026-02-07 18:02:00,21.74,50.7
2026-02-07 18:03:00,21.74,50.5
2026-02-07 18:04:00,21.56,51
2026-02-07 18:05:00,21.56,51.1
2026-02-07 18:06:00,21.38,51.1
2026-02-07 18:07:00,21.2,51.1
2026-02-07 18:08:00,21.02,51.2
2026-02-07 18:09:00,21.02,51.6
2026-02-07 18:10:00,20.84,51.9
2026-02-07 18:11:00,20.66,52
2026-02-07 18:12:00,20.66,52.2
2026-02-07 18:13:00,20.48,52.5
2026-02-07 18:14:00,20.48,52.3
2026-02-07 18:15:00,20.3,52.6
2026-02-07 18:16:00,20.12,53
2026-02-07 18:17:00,20.12,53.3
2026-02-07 18:18:00,20.12,53.3
2026-02-07 18:19:00,19.94,53.2
2026-02-07 18:20:00,19.94,53.2
2026-02-07 18:21:00,19.76,53.1
2026-02-07 18:22:00,19.76,53.3
